Time,DOAScon.supFanStart,DOAScon.TSupSetpt.supPrimSP,testBed.massflowrate,testBed.returnairtemp,testBed.outdoorairtemp
1.69E+07,1,291.15,0.81276685,295.02292,314.66666
1.69E+07,1,291.15,0.8038933,295.01563,314.48334
1.69E+07,1,291.15,0.81393456,295.0073,314.3
1.69E+07,1,291.15,0.8078125,294.98996,314.11667
1.69E+07,1,291.15,0.80985236,294.97708,313.93332
1.69E+07,1,291.15,0.8113322,294.9738,313.75
1.69E+07,1,291.15,0.8142567,294.966,313.52222
1.69E+07,1,291.15,0.8128427,294.95483,313.22778
1.69E+07,1,291.15,0.8129563,294.94623,312.9
1.69E+07,1,291.15,0.80860215,294.9397,312.57224
1.69E+07,1,291.15,0.8079948,294.92346,312.27777
1.69E+07,0,291.15,0.81310433,294.89908,312.05
1.69E+07,0,291.15,0,294.89944,311.86667
1.69E+07,0,291.15,0,294.89944,311.68332
1.69E+07,0,291.15,0,294.89944,311.5
1.69E+07,0,291.15,0,294.89944,311.31668
1.69E+07,0,291.15,0,294.89944,311.13333
1.69E+07,0,291.15,0,294.89944,310.95
1.69E+07,0,291.15,0,294.89944,310.76666
1.69E+07,0,291.15,0,294.89944,310.58334
1.69E+07,0,291.15,0,294.89944,310.4
1.69E+07,0,291.15,0,294.89944,310.21667
1.69E+07,0,291.15,0,294.89944,310.03333
1.69E+07,0,291.15,0,294.89944,309.85
1.69E+07,0,291.15,0,294.89944,309.66666
1.69E+07,0,291.15,0,294.89944,309.48334
1.69E+07,0,291.15,0,294.89944,309.3
1.69E+07,0,291.15,0,294.89935,309.11667
1.69E+07,0,291.15,0,294.89935,308.93332
1.69E+07,0,291.15,0,294.89938,308.75
