Time|s	DOAScon.supFanStart	testBed.returnairtemp	testBed.outdoorairtemp	DOAScon.TSupSetpt.supPrimSP							
1.69E+07	1	295.0346	314.85	291.15							
1.69E+07	1	295.02292	314.66666	291.15							
1.69E+07	1	295.01563	314.48334	291.15							
1.69E+07	1	295.0073	314.3	291.15							
1.69E+07	1	294.98996	314.11667	291.15							
1.69E+07	1	294.97708	313.93332	291.15							
1.69E+07	1	294.9738	313.75	291.15							
1.69E+07	1	294.966	313.52222	291.15							
1.69E+07	1	294.95483	313.22778	291.15							
1.69E+07	1	294.94623	312.9	291.15							
1.69E+07	1	294.9397	312.57224	291.15							
1.69E+07	1	294.92346	312.27777	291.15							
1.69E+07	0	294.89908	312.05	291.15							
1.69E+07	0	294.89944	311.86667	291.15							
1.69E+07	0	294.89944	311.68332	291.15							
1.69E+07	0	294.89944	311.5	291.15							
1.69E+07	0	294.89944	311.31668	291.15							
1.69E+07	0	294.89944	311.13333	291.15							
1.69E+07	0	294.89944	310.95	291.15							
1.69E+07	0	294.89944	310.76666	291.15							
1.69E+07	0	294.89944	310.58334	291.15							
1.69E+07	0	294.89944	310.4	291.15							
1.69E+07	0	294.89944	310.21667	291.15							
1.69E+07	0	294.89944	310.03333	291.15							
1.69E+07	0	294.89944	309.85	291.15							
1.69E+07	0	294.89944	309.66666	291.15							
1.69E+07	0	294.89944	309.48334	291.15							
1.69E+07	0	294.89944	309.3	291.15							
1.69E+07	0	294.89935	309.11667	291.15							
1.69E+07	0	294.89935	308.93332	291.15							
1.69E+07	0	294.89938	308.75	291.15							
